,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor
2,HNDI,101-1,Elementary Hindi I,TuTh,13:00:00,14:15:00,Prema Gandhi
3,HNDI,101-2,Elementary Hindi I,TuThF,13:00:00,14:15:00,Brajesh Samarth
4,HNDI,201-1,Intermediate Hindi I,TuTh,14:30:00,15:20:00,Brajesh Samarth
6,PSYC,110-1,Intro Psyc IPsychobio  Cognition,MW,10:00:00,11:15:00,Not Listed
7,PSYC,110-2,Intro Psyc IPsychobio  Cognition,MW,10:00:00,10:50:00,David Edwards
8,PSYC,110-3,Intro Psyc IPsychobio  Cognition,TuTh,14:30:00,15:45:00,Paul Moon
9,PSYC,110-4,Intro Psyc IPsychobio  Cognition,TuTh,11:30:00,12:45:00,Aubrey Kelly
10,PSYC,111-2,Intro To Psyc II,MW,8:30:00,9:45:00,Ebony Respress
11,PSYC,111-3,Intro To Psyc II,TuTh,13:00:00,14:15:00,Arber Tasimi
12,PSYC,180-1,Research in College Drug Use,MW,11:30:00,12:45:00,Rohan Palmer
13,PSYC,190-1,Fresh Sem Psychology,W,14:30:00,17:15:00,Stephan Hamann
14,PSYC,190-2,Fresh Sem Psychology,Tu,13:00:00,15:45:00,Lynne Nygaard
15,PSYC,190-3,Fresh Sem Psychology,W,10:00:00,12:30:00,Philippe Rochat
16,PSYC,200W-LAB1,Lab In Experimental Methods,W,14:30:00,15:45:00,Elizabeth Kim
17,PSYC,200W-LAB2,Lab In Experimental Methods,W,16:00:00,17:15:00,Elizabeth Kim
18,PSYC,200W-LAB3,Lab In Experimental Methods,W,17:30:00,18:45:00,Elizabeth Kim
19,PSYC,200W-LAB4,Lab In Experimental Methods,W,19:00:00,20:15:00,Elizabeth Kim
20,PSYC,200W-LAB5,Lab In Experimental Methods,Th,14:30:00,15:45:00,Elizabeth Kim
21,PSYC,200W-LAB6,Lab In Experimental Methods,Th,16:00:00,17:15:00,Elizabeth Kim
22,PSYC,200W-LAB7,Lab In Experimental Methods,Th,17:30:00,18:45:00,Elizabeth Kim
23,PSYC,200W-1,Lab In Experimental Methods,MW,11:30:00,12:45:00,Elizabeth Kim
24,PSYC,205-1,Child Development,MW,8:30:00,9:45:00,Elizabeth Kim
25,PSYC,207-1,Brain  Behavior,TuTh,13:00:00,14:15:00,Ali Cohen
26,PSYC,209-1,Perception and Action,TuTh,14:30:00,15:45:00,Paul Moon
27,PSYC,210-1,Adult Psychopathology,TuTh,13:00:00,14:15:00,Elaine Walker
28,PSYC,211-1,Childhood Psychopathology,MW,11:30:00,12:45:00,Elaine Johnson
29,PSYC,212-1,Social Psychology,MW,10:00:00,11:15:00,Jessica Barber
30,PSYC,215-1,Cognition,MW,14:30:00,15:45:00,Philip Kragel
31,PSYC,302-1,Human Learning  Memory,TuTh,13:00:00,14:15:00,Stephan Hamann
32,PSYC,309-1,Brain and Language,TuTh,14:30:00,15:45:00,Brianna Yamasaki
33,PSYC,310-1,Cognitive Development,TuTh,14:30:00,15:45:00,Stella Lourenco
34,PSYC,317-1,Psycholinguistics,MW,13:00:00,14:15:00,Yun Kim
35,PSYC,320-1,Animal Behavior,TuTh,14:30:00,15:45:00,Harold Gouzoules
36,PSYC,324-1,Sleep  Dreaming Brain  Mind,MW,11:30:00,12:45:00,Hillary Rodman
37,PSYC,325-1,Primate Social Psychology,TuTh,10:00:00,11:15:00,Ben Wilson
38,PSYC,353-1,Behavioral Neuroscience,MW,14:30:00,15:45:00,Alex Grizzell
39,PSYC,381-1,NeuroeconomicsDecisionMaking,MW,13:00:00,14:15:00,Gregory Berns
40,PSYC,385-2,Special Topics in Psychology,TuTh,10:00:00,11:15:00,Jessica Barber
41,PSYC,385-3,Special Topics in Psychology,TuTh,11:30:00,12:45:00,Dongning Ren
42,PSYC,385-4,Special Topics in Psychology,TuTh,8:30:00,9:45:00,Ebony Respress
43,PSYC,385-5,Special Topics in Psychology,TuTh,13:00:00,14:15:00,Sara Botto
44,PSYC,430-1,Advanced Statistics and Research Methods,MW,10:00:00,11:15:00,Yuk Cheong
45,PSYC,474R-1,Sem Developmental Psychology,TuTh,10:00:00,11:15:00,Sara Botto
46,PSYC,495A-1,Honors Program,W,13:00:00,15:45:00,Patricia Bauer
89,PSYC,542-1,Research Methods in Clinical Psychology,M,10:00:00,12:30:00,Patricia Brennan
90,PSYC,544-1,Developmental Theory  Methods,W,16:00:00,18:45:00,Philippe Rochat
91,PSYC,548-1,Assessment IPsychometrics,TuTh,10:00:00,11:15:00,Ann Abramowitz
92,PSYC,562-1,Statistics I Design  Analysis,TuTh,13:00:00,14:15:00,Phillip Wolff
121,PSYC,770R-3,Topic Seminars Psych,M,10:00:00,12:30:00,Irwin Waldman
122,PSYC,777R-1,Research Seminar A,Th,16:00:00,17:30:00,Arber Tasimi
123,PSYC,778R-1,Research Seminar B,Tu,16:00:00,17:30:00,Michael Treadway
161,PSYC,110-2,Introduction to Psychobiology  Cognition,TuTh,11:30:00,12:45:00,Sharon Lewis
162,PSYC,110-3,Introduction to Psychobiology  Cognition,TuTh,10:00:00,11:15:00,Sharon Lewis
163,PSYC,111-1,Introduction to Psychology II Development Social Behavior and Individual Differences,TuTh,11:30:00,12:45:00,Leyla Eghbalzad
164,PSYC,111-2,Introduction to Psychology II Development Social Behavior and Individual Differences,TuTh,16:00:00,17:15:00,Leyla Eghbalzad
165,PSYC,205-1,Child Development,TuTh,13:00:00,14:15:00,Leyla Eghbalzad
166,PSYC,223Q-1,Drugs and Behavior,MW,14:30:00,15:45:00,Jennifer McGee
167,PSYC,223Q-2,Drugs and Behavior,MW,10:00:00,11:15:00,Jennifer McGee
168,PSYC,385R-1,Special Topics In Psychology,TuTh,14:30:00,15:45:00,Scott Garner
169,PSYC,385R-2,Special Topics In Psychology,TuTh,16:00:00,17:15:00,Scott Garner
170,IDS,190-1,Fresh Sem IDS,TuTh,13:00:00,14:15:00,Kim Loudermilk
171,IDS,200W-1,Interdisciplinary Foundations,MW,8:30:00,9:45:00,Peter Wakefield
172,IDS,205W-1,Science  the Nature of Evidence,MW,10:00:00,11:15:00,Arri Eisen
173,IDS,216W-1,Visual Culture,TuTh,10:00:00,11:15:00,Rose DeightonMohammed
174,IDS,285W-1,IntroInterdisciplinary Topics,TuTh,14:30:00,15:45:00,Juliette Apkarian
175,IDS,385-1,Special Topics,MW,13:00:00,14:15:00,Mark Risjord
176,IDS,385W-1,Special Topics,MW,11:30:00,12:45:00,Peter Wakefield
177,IDS,385-2,Special Topics,TuTh,14:30:00,15:45:00,Cynthia Blakeley
178,IDS,385-3,Special Topics,TuTh,13:00:00,14:15:00,Kelsey Bohlke
180,IDS,491W-1,Senior Seminar,TuTh,16:00:00,17:15:00,Kim Loudermilk
182,SPAN,101-1,Elementary Spanish I,MW,8:30:00,9:20:00,Jennifer Feldman
183,SPAN,101-2,Elementary Spanish I,MW,10:00:00,10:50:00,Jennifer Feldman
184,SPAN,101-3,Elementary Spanish I,TuTh,10:00:00,10:50:00,Laura Mejia
185,SPAN,101-4,Elementary Spanish I,TuTh,11:30:00,12:20:00,Willie Hurst
186,SPAN,201-1,Intermediate Spanish I,MW,8:30:00,9:45:00,Cesar Sierra
187,SPAN,201-2,Intermediate Spanish I,MW,10:00:00,11:15:00,Cesar Sierra
188,SPAN,201-3,Intermediate Spanish I,MW,11:30:00,12:45:00,Not Listed
189,SPAN,201-4,Intermediate Spanish I,MW,13:00:00,14:15:00,Not Listed
190,SPAN,201-5,Intermediate Spanish I,MW,14:30:00,15:45:00,Not Listed
191,SPAN,201-6,Intermediate Spanish I,MW,16:00:00,17:15:00,Not Listed
192,SPAN,201-7,Intermediate Spanish I,TuTh,8:30:00,9:45:00,Lisa Dillman
193,SPAN,201-8,Intermediate Spanish I,TuTh,10:00:00,11:15:00,Lisa Dillman
194,SPAN,212-1,Intro to Hisp Texts  Contexts,MW,10:00:00,11:15:00,Maria Gonzalez
195,SPAN,212-2,Intro to Hisp Texts  Contexts,MW,11:30:00,12:45:00,Maria Gonzalez
196,SPAN,212-3,Intro to Hisp Texts  Contexts,MW,16:00:00,17:15:00,Not Listed
197,SPAN,212-4,Intro to Hisp Texts  Contexts,TuTh,10:00:00,11:15:00,Jose Londono
198,SPAN,212-5,Intro to Hisp Texts  Contexts,TuTh,11:30:00,12:45:00,Katherine Ostrom
199,SPAN,212-6,Intro to Hisp Texts  Contexts,TuTh,13:00:00,14:15:00,Not Listed
200,SPAN,212-7,Intro to Hisp Texts  Contexts,TuTh,14:30:00,15:45:00,Not Listed
201,SPAN,212-8,Intro to Hisp Texts  Contexts,TuTh,16:00:00,17:15:00,Robyn Clarke
202,SPAN,285-1,Topics Hispanic Studies,M,17:30:00,18:20:00,Katherine Ostrom
203,SPAN,285-2,Topics Hispanic Studies,W,14:00:00,14:50:00,Maria Gonzalez
204,SPAN,301W-1,Early Hispanic Texts  Contexts,MW,11:30:00,12:45:00,Cesar Sierra
205,SPAN,302W-1,Modern Hispanic Texts  Contexts,TuTh,10:00:00,11:15:00,Hernan Feldman
206,SPAN,302W-2,Modern Hispanic Texts  Contexts,TuTh,11:30:00,12:45:00,Hernan Feldman
207,SPAN,303-1,Phonetics The Sounds of Spanish,MW,11:30:00,12:45:00,Donald Tuten
208,SPAN,303-2,Phonetics The Sounds of Spanish,TuTh,17:30:00,18:45:00,Robyn Clarke
209,SPAN,304-1,Introduction to Spanish Linguistics,TuTh,13:00:00,14:15:00,Jose BoiguesLopez
210,SPAN,304-2,Introduction to Spanish Linguistics,TuTh,14:30:00,15:45:00,Jose BoiguesLopez
211,SPAN,311-1,Hispanic Narrative,MW,11:30:00,12:45:00,Not Listed
212,SPAN,318-1,Critical Writing in Hispanic Topics,TuTh,11:30:00,12:45:00,Jose BoiguesLopez
213,SPAN,341-1,Hispanic UtopiasDystopias,MW,10:00:00,11:15:00,Hazel Gold
214,SPAN,385-1,Topics in Language and Culture,TuTh,13:00:00,14:15:00,Juan Chacon
215,SPAN,409-1,Medical Discourse in Latin America,TuTh,10:00:00,11:15:00,Xochiquetzal MarsilliVargas
216,SPAN,410-1,Topics in Spanish Linguistics,TuTh,11:30:00,12:45:00,Not Listed
217,SPAN,421W-1,Mexican National Cinema,TuTh,13:00:00,14:15:00,Monica Blizzard
218,SPAN,423-1,Madrid Barcelona New York,MW,13:00:00,14:15:00,Hazel Gold
219,SPAN,485-1,Topics in Hispanic Culture,TuTh,11:30:00,12:45:00,Jose Quiroga
220,SPAN,485-2,Topics in Hispanic Culture,MW,16:00:00,17:15:00,David Nichols
221,SPAN,312-1,Theatre Film  Performing Art,TuTh,11:30:00,12:45:00,Salvador Raggio
222,SPAN,312-2,Theatre Film  Performing Art,TuTh,13:00:00,14:15:00,Salvador Raggio
223,EAS,190-1,Freshmen Seminar,TuTh,8:30:00,9:45:00,Cheryl Crowley
224,EAS,228-1,Asian American History,TuTh,16:00:00,17:15:00,Chris Suh
225,EAS,250-1,Introduction to East Asian Studies,MW,11:30:00,12:45:00,Hwisang Cho
226,EAS,260-1,East Asia 1500 to Present,MW,13:00:00,14:15:00,Hwisang Cho
227,EAS,317-1,East Asian Buddhism,MW,13:00:00,14:15:00,Wei Wu
228,EAS,385-1,Special Topics East Asian Studies,TuTh,11:30:00,12:45:00,Not Listed
229,EAS,450W-1,Seminar in East Asian Studies,MW,14:30:00,15:45:00,Guangchen Chen
237,MESAS,100-1,Introduction to Middle Eastern Civilizations,TuTh,14:30:00,15:45:00,Craig Perry
238,MESAS,102-1,Introduction to South Asian Civilizations,TuTh,10:00:00,11:15:00,Harshita Kamath
239,MESAS,190-1,Freshmen Seminar in MESAS,MW,10:00:00,11:15:00,Geoffrey Levin
240,MESAS,190-2,Freshmen Seminar in MESAS,TuTh,16:00:00,17:15:00,Brajesh Samarth
241,MESAS,190-3,Freshmen Seminar in MESAS,MW,16:00:00,17:15:00,Hossein Samei
242,MESAS,190-4,Freshmen Seminar in MESAS,MW,11:30:00,12:45:00,Vincent Cornell
243,MESAS,190-5,Freshmen Seminar in MESAS,MW,10:00:00,11:15:00,Ruby Lal
244,MESAS,190-6,Freshmen Seminar in MESAS,M,14:30:00,17:15:00,Craig Perry
245,MESAS,240-1,Conversational Tibetan,TuTh,15:00:00,15:50:00,Tsepak Rigzin
246,MESAS,244W-1,The Quran,MW,13:00:00,14:15:00,Devin Stewart
247,MESAS,254-1,From Pearls to Petroleum,MW,13:00:00,14:15:00,Roxani Margariti
248,MESAS,270-1,Special Topics MESAS200 Level,TuTh,10:00:00,11:15:00,Yacine Addoun
249,MESAS,270-2,Special Topics MESAS200 Level,TuTh,13:00:00,14:15:00,Yacine Addoun
250,MESAS,270-3,Special Topics MESAS200 Level,MW,11:30:00,12:45:00,Geoffrey Levin
251,MESAS,270-4,Special Topics MESAS200 Level,TuTh,11:30:00,12:45:00,Petra Creamer
252,MESAS,300W-1,Beyond Borders Imagine MESA,MW,16:00:00,17:15:00,Roxani Margariti
253,MESAS,319-1,Media Islam and Social Movements,TuTh,16:00:00,17:15:00,Sam Cherribi
254,MESAS,330-1,Tibetan Culture,MW,13:00:00,14:15:00,Tsepak Rigzin
255,MESAS,348W-1,IsraeliPalestinian Literature,MW,14:30:00,15:45:00,Ofra Yeglin
256,MESAS,353-1,PolEconof MEast  N Africa,TuTh,17:30:00,18:45:00,Sam Cherribi
257,MESAS,370-1,Special Topics MESAS300 Level,TuTh,11:30:00,12:45:00,Courtney Freer
258,MESAS,370-2,Special Topics MESAS300 Level,TuTh,14:30:00,15:45:00,Courtney Freer
259,MESAS,375W-1,Topics In Jewish Literature,MW,11:30:00,12:45:00,Ofra Yeglin
260,MESAS,378W-1,Caste,TuTh,13:00:00,14:15:00,Harshita Kamath
261,MESAS,430-1,Gender Sexuality Islam,MW,14:30:00,15:45:00,Scott Kugle
262,MESAS,466W-1,India The Home and the World,W,13:00:00,15:45:00,Gyanendra Pandey
264,TBT,101-1,Elementary Tibetan I,TuTh,10:00:00,10:50:00,Tsepak Rigzin
265,RP,648-800,Readings Psychology of Religion,MTuWThF,9:00:00,14:00:00,Keith Menhinick
266,SR,593-1,Religion  Health Sexual  Reproductive Health,M,13:00:00,16:00:00,John Blevins
267,SR,601-1,Sociology Of Religion,M,14:30:00,17:30:00,Jonathan Calvillo
268,SR,613-1,Gender In US Religion,MW,14:30:00,15:50:00,Nichole Phillips
269,SR,623-1,Religion in Urban Landscape,Th,14:30:00,17:30:00,Jonathan Calvillo
271,SR,645-1,Race Class and the Making of American Religion,M,14:30:00,16:30:00,Marla Frederick
272,SR,665-1,Catholicism in America Migration Transnationalism  Devotion,W,13:00:00,16:00:00,Susan Reynolds
273,DANC,121R-1,Ballet Dance I Introduction,TuTh,10:00:00,11:15:00,Angela Harris
274,DANC,121R-2,Ballet Dance I Introduction,TuTh,11:30:00,12:45:00,Angela Harris
275,DANC,123R-1,Contemporary Modern Dance I Introduction,TuTh,14:30:00,15:45:00,Kristin ONeal
276,DANC,124R-1,Jazz Dance I Introduction,MW,13:00:00,14:15:00,Tara Myers
277,DANC,150R-1,Movement Improvisation,TuTh,16:00:00,17:15:00,Kristin ONeal
278,DANC,150R-2,Movement Improvisation,MW,10:00:00,11:15:00,Lori Teague
279,DANC,190-1,Freshman Seminar,MW,11:30:00,12:45:00,George Staib
285,DANC,212R-1,Topics in Dance Technique,MW,16:00:00,17:15:00,Maho Ishiguro
286,DANC,215R-1,Kuchipudi,MW,10:00:00,11:15:00,Sasikala Penumarthi
287,DANC,221R-1,Ballet Dance II Advanced Beginning,TuTh,10:00:00,11:15:00,George Staib
288,DANC,222R-1,HipHop beginningintermediate,TuTh,14:30:00,15:45:00,Julio Medina
289,DANC,223R-1,Contemporary Modern Dance II Advanced Beginning,MW,11:30:00,12:45:00,Kristin ONeal
290,DANC,224R-1,Jazz Dance II Advanced Beginning,MW,14:30:00,15:45:00,Tara Myers
291,DANC,226-1,Topics in Somatic Practices,MW,10:00:00,11:15:00,Mara Mandradjieff
292,DANC,226-2,Topics in Somatic Practices,TuTh,14:30:00,15:45:00,Not Listed
293,DANC,228-1,HipHop Dance and Identity,TuTh,13:00:00,14:15:00,Julio Medina
294,DANC,243-1,Arts Administration,F,13:00:00,15:45:00,Ariel Fristoe
295,DANC,250-1,Choreography I,MW,16:00:00,17:15:00,Gregory Catellier
296,DANC,321R-1,Ballet Dance III Intermediate,TuTh,11:30:00,12:45:00,Mara Mandradjieff
297,DANC,322R-1,HipHop intermediateadvanced,TuTh,16:00:00,17:15:00,Julio Medina
298,DANC,323R-1,Contemporary Modern Dance III Intermediate,MWF,13:00:00,14:15:00,George Staib
299,DANC,324R-1,Jazz Dance III Intermediate,MW,16:00:00,17:15:00,Tara Myers
300,DANC,329-1,Art as Work Self Community and Practice,MW,11:30:00,12:45:00,Sally Radell
301,DANC,330-1,Dance Pedagogy,TuTh,10:00:00,11:15:00,Lori Teague
302,DANC,385W-1,Spec TopicsDance  Mvmnt Studies,MW,13:00:00,14:15:00,Mara Mandradjieff
303,DANC,421R-1,Ballet Dance IV Advanced,TuTh,13:00:00,14:15:00,Mara Mandradjieff
304,DANC,423R-1,Contemporary Modern Dance IV Advanced,MW,14:30:00,15:45:00,George Staib
306,DANC,492R-1,Spec ProjTechnical Production,MTuWThF,11:30:00,12:45:00,Gregory Catellier
313,SUST,201-1,Foundations of Sustainability,MWF,11:30:00,12:45:00,John Sitter
315,ARTHIST,101-1,Art Culture Context I,MW,11:30:00,12:20:00,Linda Merrill
316,ARTHIST,101-2,Art Culture Context I,MW,10:00:00,10:50:00,Not Listed
317,ARTHIST,101-5,Art Culture Context I,MW,11:30:00,12:20:00,Not Listed
318,ARTHIST,101-7,Art Culture Context I,Th,13:00:00,13:50:00,Not Listed
319,ARTHIST,101-8,Art Culture Context I,Th,14:30:00,15:20:00,Not Listed
320,ARTHIST,101-9,Art Culture Context I,F,10:00:00,10:50:00,Not Listed
321,ARTHIST,101-11,Art Culture Context I,F,11:30:00,12:20:00,Not Listed
322,ARTHIST,101-12,Art Culture Context I,F,13:00:00,13:50:00,Not Listed
323,ARTHIST,103-1,Understanding Architecture,MW,16:00:00,17:15:00,Not Listed
324,ARTHIST,210-1,Introduction to Graphics  CAD,Tu,18:00:00,21:00:00,Not Listed
325,ARTHIST,212-1,Introto Digital Art History,F,11:30:00,13:30:00,Nicole Corrigan
326,ARTHIST,213-1,Ancient Egypt Art 3000  1550BC,TuTh,13:00:00,14:15:00,Rune Nyord
327,ARTHIST,221-1,Art  Architecture of Ancient Greece,TuTh,10:00:00,11:15:00,Andrew Ward
328,ARTHIST,233-1,Introducing Medieval Buildings,MW,13:00:00,14:15:00,Elizabeth Pastan
329,ARTHIST,243-1,Arts Administration,F,13:00:00,15:45:00,Ariel Fristoe
330,ARTHIST,252-1,European Painting 15901789,TuTh,16:00:00,17:15:00,Annie Maloney
331,ARTHIST,265-1,Europe in the 20th Century,TuTh,11:30:00,12:45:00,Raquel Belden
332,ARTHIST,329-1,Topics Art of Class Antiquity,MW,13:00:00,14:15:00,Eric Varner
333,ARTHIST,349RW-1,Spec StudRenaissance Art History,TuTh,10:00:00,11:15:00,Jean Campbell
334,ARTHIST,355-1,Historical Arts of Africa,TuTh,11:30:00,12:45:00,Kyrah Daniels
335,ARTHIST,369R-1,Spec Stud19th20th Cent Art,TuTh,14:30:00,15:45:00,Lisa Lee
336,ARTHIST,387-1,Issues in Art Conservation,Th,13:00:00,15:45:00,Renee Stein
338,ARTHIST,470RW-1,SemAncient MediterrAnatolian Art,M,14:30:00,17:15:00,Rune Nyord
339,ARTHIST,470RW-2,SemAncient MediterrAnatolian Art,Tu,13:00:00,15:45:00,Andrew Ward
340,ARTHIST,475RW-1,SemMedEuroRenaisBaroque Art,Th,10:00:00,12:45:00,Elizabeth Pastan
341,ARTHIST,480RW-1,SemLate18th Cont EurAm Art,Tu,10:00:00,12:45:00,Lisa Lee
342,ARTHIST,590R-1,Seminar in Methods of Art Historical Research,W,17:15:00,20:00:00,Todd Cronan
343,ARTHIST,592G-1,ConservationCultural Properties,Th,13:00:00,15:45:00,Renee Stein
344,ARTHIST,592H-1,Intro ComputerAided Design,Tu,18:00:00,21:00:00,Not Listed
347,ARTHIST,719R-1,Seminar Ancient Egypt ArtArch,M,14:30:00,17:15:00,Rune Nyord
348,ARTHIST,729-1,Seminar Classical ArtArchitect,Tu,13:00:00,15:45:00,Eric Varner
349,ARTHIST,739R-1,Seminar Medieval ArtArchitect,Th,10:00:00,12:45:00,Elizabeth Pastan
350,ARTHIST,775R-1,Seminar ModContemp ArtArch,Tu,10:00:00,12:45:00,Lisa Lee
351,ARTHIST,790-1,Grad TutorialTeaching Art History,W,13:00:00,14:50:00,Not Listed
364,RLE,780-1,Moral Agency Under Constraint,F,9:30:00,12:30:00,Ellen Marshall
366,ECS,101-1,Emory Edge,W,8:30:00,9:20:00,Shari Obrentz
367,ECS,101-2,Emory Edge,W,8:30:00,9:20:00,Shari Obrentz
368,ECS,101-3,Emory Edge,W,8:30:00,9:20:00,Shari Obrentz
369,ECS,101-4,Emory Edge,W,8:30:00,9:20:00,Shari Obrentz
370,ECS,101-5,Emory Edge,W,16:00:00,16:50:00,Shari Obrentz
371,ECS,101-6,Emory Edge,W,16:00:00,16:50:00,Shari Obrentz
372,ECS,101-7,Emory Edge,W,16:00:00,16:50:00,Shari Obrentz
373,ECS,101-8,Emory Edge,W,16:00:00,16:50:00,Shari Obrentz
374,ECS,101-9,Emory Edge,W,16:00:00,16:50:00,Shari Obrentz
375,ECS,101-10,Emory Edge,W,16:00:00,16:50:00,Shari Obrentz
376,ECS,101-11,Emory Edge,W,16:00:00,16:50:00,Shari Obrentz
377,ECS,101-12,Emory Edge,W,16:00:00,16:50:00,Shari Obrentz
378,ECS,101-13,Emory Edge,W,17:00:00,17:50:00,Shari Obrentz
379,ECS,101-14,Emory Edge,W,17:00:00,17:50:00,Shari Obrentz
380,ECS,101-15,Emory Edge,W,17:00:00,17:50:00,Shari Obrentz
381,ECS,101-16,Emory Edge,W,17:00:00,17:50:00,Shari Obrentz
382,ECS,101-17,Emory Edge,W,17:00:00,17:50:00,Shari Obrentz
383,ECS,101-18,Emory Edge,W,17:00:00,17:50:00,Shari Obrentz
384,ECS,101-19,Emory Edge,W,17:00:00,17:50:00,Shari Obrentz
385,ECS,101-20,Emory Edge,W,17:00:00,17:50:00,Shari Obrentz
386,ECS,101-21,Emory Edge,Th,8:30:00,9:20:00,Shari Obrentz
387,ECS,101-22,Emory Edge,Th,8:30:00,9:20:00,Shari Obrentz
388,ECS,101-23,Emory Edge,Th,8:30:00,9:20:00,Shari Obrentz
389,ECS,101-24,Emory Edge,Th,8:30:00,9:20:00,Shari Obrentz
390,ECS,101-25,Emory Edge,Th,8:30:00,9:20:00,Shari Obrentz
391,ECS,101-26,Emory Edge,Th,16:00:00,16:50:00,Shari Obrentz
392,ECS,101-27,Emory Edge,Th,16:00:00,16:50:00,Shari Obrentz
393,ECS,101-28,Emory Edge,Th,16:00:00,16:50:00,Shari Obrentz
394,ECS,101-29,Emory Edge,Th,16:00:00,16:50:00,Shari Obrentz
395,ECS,101-30,Emory Edge,Th,16:00:00,16:50:00,Shari Obrentz
396,ECS,101-31,Emory Edge,Th,16:00:00,16:50:00,Shari Obrentz
397,ECS,101-32,Emory Edge,Th,16:00:00,16:50:00,Shari Obrentz
398,ECS,101-33,Emory Edge,Th,16:00:00,16:50:00,Shari Obrentz
399,ECS,101-34,Emory Edge,Th,16:00:00,16:50:00,Shari Obrentz
400,ECS,101-35,Emory Edge,Th,17:00:00,17:50:00,Shari Obrentz
401,ECS,101-36,Emory Edge,Th,17:00:00,17:50:00,Shari Obrentz
402,ECS,101-37,Emory Edge,Th,17:00:00,17:50:00,Shari Obrentz
403,ECS,101-38,Emory Edge,Th,17:00:00,17:50:00,Shari Obrentz
404,ECS,101-39,Emory Edge,Th,17:00:00,17:50:00,Shari Obrentz
405,ECS,101-40,Emory Edge,Th,17:00:00,17:50:00,Shari Obrentz
406,ECS,101-41,Emory Edge,Th,17:00:00,17:50:00,Shari Obrentz
407,ECS,101-42,Emory Edge,Th,17:00:00,17:50:00,Shari Obrentz
408,ECS,101-43,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
409,ECS,101-44,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
410,ECS,101-45,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
411,ECS,101-46,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
412,ECS,101-47,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
413,ECS,101-48,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
414,ECS,101-49,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
415,ECS,101-50,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
416,ECS,101-51,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
417,ECS,101-52,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
418,ECS,101-53,Emory Edge,F,9:00:00,9:50:00,Shari Obrentz
419,ECS,101-54,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
420,ECS,101-55,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
421,ECS,101-56,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
422,ECS,101-57,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
423,ECS,101-58,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
424,ECS,101-59,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
425,ECS,101-60,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
426,ECS,101-61,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
427,ECS,101-62,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
428,ECS,101-63,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
429,ECS,101-64,Emory Edge,F,10:00:00,10:50:00,Shari Obrentz
430,ECS,101-65,Emory Edge,F,11:00:00,11:50:00,Shari Obrentz
431,ECS,101-66,Emory Edge,F,11:00:00,11:50:00,Shari Obrentz
432,ECS,101-67,Emory Edge,F,11:00:00,11:50:00,Shari Obrentz
433,ECS,101-68,Emory Edge,F,11:00:00,11:50:00,Shari Obrentz
434,ECS,101-69,Emory Edge,F,11:00:00,11:50:00,Shari Obrentz
435,ECS,101-70,Emory Edge,F,11:00:00,11:50:00,Shari Obrentz
436,ECS,101-71,Emory Edge,F,11:00:00,11:50:00,Shari Obrentz
437,ECS,101-72,Emory Edge,F,11:00:00,11:50:00,Shari Obrentz
438,ECS,101-73,Emory Edge,F,12:00:00,12:50:00,Shari Obrentz
439,ECS,101-74,Emory Edge,F,12:00:00,12:50:00,Shari Obrentz
440,ECS,101-75,Emory Edge,F,12:00:00,12:50:00,Shari Obrentz
441,ECS,101-76,Emory Edge,F,12:00:00,12:50:00,Shari Obrentz
442,ECS,101-77,Emory Edge,F,12:00:00,12:50:00,Shari Obrentz
443,ECS,101-78,Emory Edge,F,13:00:00,13:50:00,Shari Obrentz
444,ECS,101-79,Emory Edge,F,13:00:00,13:50:00,Shari Obrentz
445,ECS,101-80,Emory Edge,F,13:00:00,13:50:00,Shari Obrentz
446,ECS,101-81,Emory Edge,F,13:00:00,13:50:00,Shari Obrentz
447,ECS,101-82,Emory Edge,F,13:00:00,13:50:00,Shari Obrentz
448,ECS,101-83,Emory Edge,Th,8:30:00,9:20:00,Shari Obrentz
449,ECS,102-1,The Liberal Arts Edge,Tu,14:30:00,15:20:00,Robyn Clarke
450,ECS,201-1,Emory Edge Transfers,F,11:00:00,11:50:00,Kimber Clark
451,ECS,300R-1,Honor Council Practicum,M,17:30:00,19:15:00,Blaire Wilson
452,ECS,400R-1,Honor Council Advanced Practicum,M,17:30:00,19:15:00,Blaire Wilson
