,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor
3229,ECON,385R-1,Special Topics In Economics,TuTh,14:30:00,15:45:00,Teresa Romano
3230,PC,501-1,Introduction To Pastoral Care,Th,14:30:00,17:30:00,Gregory Ellison
3231,PC,501-10,Introduction To Pastoral Care,M,14:30:00,16:30:00,Keith Menhinick
3232,PC,610-1,Crisis Ministry,W,13:00:00,16:00:00,Keith Menhinick
3233,PC,612-1,Spirituality and Health,M,14:30:00,17:30:00,Lahronda Little
3234,PC,635-800,Trauma Theology and Pastoral Care,MTuWThF,9:00:00,13:00:00,Danielle Hansen
3235,RUSS,101-1,Elementary Russian I,MWF,10:00:00,11:15:00,Not Listed
3236,RUSS,101-2,Elementary Russian I,MWF,11:30:00,12:45:00,Not Listed
3237,RUSS,201-1,Interm Russ ConversationReading,MWF,11:30:00,12:45:00,Vera Proskurina
3238,RUSS,271W-1,Imperial Russian Culture,TuTh,14:30:00,15:45:00,Juliette Apkarian
3239,RUSS,311-1,Topics Russian Fiction and Nonfiction,MW,13:00:00,14:15:00,Vera Proskurina
3255,TATT,605NRSG-1,Teaching Assistantship,W,11:00:00,11:50:00,Ann Rogers
3300,THM,501-1,ThM Project Seminar,F,13:00:00,14:00:00,Joy McDougall
3317,HLTH,100-1,Its Your Health  Wellbeing,Tu,11:30:00,12:20:00,Lisa DuPree
3318,HLTH,100-2,Its Your Health  Wellbeing,Tu,11:30:00,12:20:00,Lisa DuPree
3319,HLTH,100-3,Its Your Health  Wellbeing,Tu,11:30:00,12:20:00,Lisa DuPree
3320,HLTH,100-4,Its Your Health  Wellbeing,Tu,11:30:00,12:20:00,Lisa DuPree
3321,HLTH,100-5,Its Your Health  Wellbeing,Tu,13:00:00,13:50:00,Lisa DuPree
3322,HLTH,100-6,Its Your Health  Wellbeing,Tu,13:00:00,13:50:00,Lisa DuPree
3323,HLTH,100-7,Its Your Health  Wellbeing,Tu,13:00:00,13:50:00,Lisa DuPree
3324,HLTH,100-8,Its Your Health  Wellbeing,Tu,13:00:00,13:50:00,Lisa DuPree
3325,HLTH,100-9,Its Your Health  Wellbeing,Tu,13:00:00,13:50:00,Lisa DuPree
3326,HLTH,100-10,Its Your Health  Wellbeing,Tu,13:00:00,13:50:00,Lisa DuPree
3327,HLTH,100-11,Its Your Health  Wellbeing,Tu,13:00:00,13:50:00,Lisa DuPree
3328,HLTH,100-12,Its Your Health  Wellbeing,Tu,13:00:00,13:50:00,Lisa DuPree
3329,HLTH,100-13,Its Your Health  Wellbeing,W,8:30:00,9:20:00,Lisa DuPree
3330,HLTH,100-14,Its Your Health  Wellbeing,W,8:30:00,9:20:00,Lisa DuPree
3331,HLTH,100-15,Its Your Health  Wellbeing,W,8:30:00,9:20:00,Lisa DuPree
3332,HLTH,100-16,Its Your Health  Wellbeing,W,8:30:00,9:20:00,Lisa DuPree
