,class_prefix,class_num,class_name
0,SOC,495A,Honors
1,SOC,497R,Directed Research
2,SOC,498R,Supervised Reading
3,SOC,499R,Independent Research
4,SOC,500,Research MethodsModelsStatistics
5,SOC,501,Research Methods & Models Design
6,SOC,531,Sociology of Health & Illness
7,SOC,585,Advanced Topics in Sociological Research Ethnoracial Hlth Inequalities
10,SOC,597R,Advanced Topics in Sociological Research BigSmall Data & Visualization
11,SOC,599R,Advanced Topics in Sociological Research Advanced Network Analysis
12,SOC,797R,Directed Study
13,SOC,799R,M.A. Research
14,SPAN,101,Directed Study
15,SPAN,201,Phd Research
16,SPAN,212,Elementary Spanish I
17,SPAN,300,Intermediate Spanish I
18,SPAN,301W,Intro to Hisp Texts & Contexts
19,SPAN,302W,Introduction to Hispanic Cultural History
20,SPAN,303,Early Hispanic Texts & Contexts
21,SPAN,304,Modern Hispanic Texts & Contexts
22,SPAN,331,Phonetics The Sounds of Spanish
23,SPAN,336,Introduction to Spanish Linguistics
24,SPAN,405W,The Spanish Civil War
25,SPAN,410,Introduction to Translation
26,SPAN,421W,Language and Discourse on the Web
27,SPAN,424,Topics in Spanish Linguistics The Structure of Spanish
28,SPAN,485,Mexican National Cinema
30,SPAN,495A,Culture of Human Rights
31,SPAN,497R,Topics in Hispanic Culture Romanticism and Nationalism
32,SR,593,Topics in Hispanic Culture Nature and the New World
33,SR,601,Honors
34,SR,612,Supervised Reading
35,SR,615,Religion & Health Sexual & Reproductive Health
36,SR,620,Sociology Of Religion
37,SR,633,The Church and Disabilities
38,SR,645,"Immigration, Religion, and the American Church"
39,SR,665,Nonviolent StrategiesSocial Change
40,SR,699,African American Religion and Culture
41,ST,501,"Race, Class and the Making of American Religion"
42,ST,628,"Catholicism in America Migration, Transnationalism, & Devotion"
43,ST,641,Directed Study
44,ST,652,Systematic Theology
45,ST,698,Liturgical Theology
47,TATT,600,Christology & Ethics
48,TATT,605ANT,Global Feminist Theologies
49,TATT,605ARTH,"Special Topics in System Theology Suffering, Solidarity & Cross"
50,TATT,605BCDB,Special Topics in System Theology Queer Theology
51,TATT,605BIOS,Graduate School Workshop
52,TATT,605BSHE,Teaching Assistantship
53,TATT,605BUS,Teaching Assistantship
54,TATT,605CB,Teaching Assistantship
55,TATT,605CHEM,Teaching Assistantship
56,TATT,605CPLT,Teaching Assistantship
57,TATT,605CS,Teaching Assistantship
58,TATT,605ECON,Teaching Assistantship
59,TATT,605EHS,Teaching Assistantship
60,TATT,605ENG,Teaching Assistantship
61,TATT,605EPI,Teaching Assistantship
62,TATT,605FREN,Teaching Assistantship
63,TATT,605GMB,Teaching Assistantship
64,TATT,605HIST,Teaching Assistantship
65,TATT,605HPM,Teaching Assistantship
66,TATT,605ICIVS,Teaching Assistantship
67,TATT,605IMP,Teaching Assistantship
68,TATT,605MATH,Teaching Assistantship
69,TATT,605MMG,Teaching Assistantship
70,TATT,605MSP,Teaching Assistantship
71,TATT,605NHS,Teaching Assistantship
72,TATT,605NRSG,Teaching Assistantship
73,TATT,605NS,Teaching Assistantship
74,TATT,605PBEE,Teaching Assistantship
75,TATT,605PHIL,Teaching Assistantship
76,TATT,605PHYS,Teaching Assistantship
77,TATT,605POLS,Teaching Assistantship
78,TATT,605PSYC,Teaching Assistantship
79,TATT,605REL,Teaching Assistantship
80,TATT,605WGS,Teaching Assistantship
81,TATT,610ANT,Teaching Assistantship
82,TATT,610ARTH,Teaching Assistantship
83,TATT,610BIOS,Teaching Assistantship
84,TATT,610BUS,Teaching Assistantship
85,TATT,610CHEM,Teaching Associateship
86,TATT,610CPLT,Teaching Associateship
87,TATT,610ECON,Teaching Associateship
88,TATT,610EHS,Teaching Associateship
89,TATT,610ENG,Teaching Associateship
90,TATT,610FREN,Teaching Associateship
91,TATT,610HIST,Teaching Associateship
92,TATT,610MATH,Teaching Associateship
93,TATT,610NHS,Teaching Associateship
94,TATT,610PHYS,Teaching Associateship
95,TATT,610POLS,Teaching Associateship
96,TATT,610PSYC,Teaching Associateship
97,TATT,610REL,Teaching Associateship
98,TATT,610SOC,Teaching Associateship
99,TATT,610WGS,Teaching Associateship
100,TBT,101,Teaching Associateship
101,TESL,300,Teaching Associateship
102,THEA,100,Teaching Associateship
103,THEA,120,Teaching Associateship
104,THEA,130,Elementary Tibetan I
105,THEA,190,English for Other Language Written
107,THEA,200R,Introduction to the Theater
108,THEA,210W,Acting Fundamentals
109,THEA,215,Stagecraft
110,THEA,221,Fresh Seminar
111,THEA,223,Fresh Seminar PRETENDINGWorld Make-Believe
112,THEA,240,Theatre Practicum
113,THEA,289,Reading for Performance
114,THEA,300R,History of Drama and Theater I
115,THEA,320R,Acting Scene Work
116,THEA,322,Voice & Diction
117,THEA,329,Arts Administration
118,THEA,331,Special Topics Theatre Audition Preparation
119,THEA,366W,Production Assistantship
120,THEA,372RW,Acting Laboratory Credit for Theater Emory Productions
121,THEA,385,Acting Developing A Role
122,THEA,410W,"Art as Work Self, Community, and Practice"
123,THEA,443R,Costume Design
124,THEA,495RW,Contemporary Drama
125,THEA,496R,Intermediate Playwriting
126,THM,501,Special Topics Principles of Drama Therapy
127,THM,600,Aesthetics and Criticism
128,THM,650,Performance Techniques
129,THM,999R,Honors Project in Theater
130,VM,999D1,Internship in Theater
131,VM,999D2,ThM Project Seminar
132,VM,999INT1,Post-MDiv Elective
133,VM,999INT2,ThM Project
134,VMR,999,THM Administrative Fee
135,W,501,Visiting Medical Rotation One
136,W,628,Visiting Medical Rotation Two
137,W,638,Visiting Medical Rotation One
138,W,699,Visiting Medical Rotation Two
139,WGS,100W,Visiting Medical Research Rotation
140,WGS,190,Public Worship
142,WGS,200,Liturgical Theology
143,WGS,285,Planning Christian Worship
147,WGS,333,Directed Study
148,WGS,358,Gender Trouble
149,WGS,385,"Fresh Sem Women, Gender, & Sexuality Studies Manifesto!"
152,WGS,385W,"Fresh Sem Women, Gender, & Sexuality Studies Buddhist Women Through Ages"
153,WGS,475R,Introduction to WGSS
154,WGS,490RW,"Variable Topics in Women, Gender & Sexuality Studies History of HIVAIDS in the US"
155,WGS,495RW,"Variable Topics in Women, Gender & Sexuality Studies LGBTQ Religion & Spirituality"
156,WGS,585,"Variable Topics in Women, Gender & Sexuality Studies Latinas and Religion"
157,WGS,586R,"Variable Topics in Women, Gender & Sexuality Studies Intersection.Theory&Praxis"
158,WGS,589R,"Language, Gender and Sexuality"
159,WGS,597R,Women and the Law
160,WGS,700,"Spec Topics Women, Gender, & Sexuality Studies Black Queer Studies"
161,WGS,710,"Spec Topics Women, Gender, & Sexuality Studies Law, Discipline, and Justice"
162,WGS,730R,"Spec Topics Women, Gender, & Sexuality Studies When Bodies Don't Matter"
164,WGS,752R,"Spec Topics Women, Gender, & Sexuality Studies Contemporary Drama"
165,WGS,798R,Advanced Seminar Gender in Film and Media
166,WGS,799R,"Senior Sem in Women, Gender, & Sexuality Studies"
167,WR,510,Honors Research
168,WR,603,"Special Topics Women, Gender, & Sexuality Studies Blackness and Psychoanalysis"
169,WR,624,"Race, Class & Justice Violence and Vulnerability"
170,WR,650,"Bodies, Sexualities & Science Medicine, Science, and Power"
171,WR,652,Directed Reading
172,WR,699R,"Women, Gender, & Sexuality Studies Pro-Seminar"
173,WTM,500,Research Design
174,WTM,501,"Special Topics Women, Gender, & Sexuality Studies 脡douard Glissant and Feminist"
175,WTM,505,"Special Topics Women, Gender, & Sexuality Studies"
176,YDD,397R,Queer Theory
177,DONE,,Pre-Candidacy Research
178,AAAA,999N,Advanced Research
179,AAS,100,Introduction to Judaism
180,ACT,399R,Ancient Judiasm
181,ACT,410,Rastafari Religion
182,ACT,512,Islam in America
183,ACT,512Y,History and Practice of Christian-Muslim Relations
184,ACT,513,Directed Study
185,ACT,690,WTM Professional Development
186,ACT,691,Women's Forum
187,ACT,691A,WTM Integrative Project
188,AEPI,536D,Supervised Reading In Yiddish Lit
189,AEPI,550D,Reset Search
190,AEPI,597D,Course To Be Scheduled Later
191,AEPI,599R,Intro To African American Studies
192,AFS,270,Special Topics in Accounting Personal Financial Planning
193,AMST,322W,Legal Environment of Business
194,ANES,505A,Financial Reporting & Analysis
195,ANES,507,Financial Reporting
196,ANES,509,Managerial Accounting
197,ANES,516B,Professional Development II
198,ANES,520,Applied Work Experience
199,ANES,525,Applied Work Experience
200,ANES,530,Epidemiological Modeling
201,ANES,535B,Topics in Applied Epidemiology
202,ANES,536C,Applied EPI Directed Study
203,ANES,540C,Thesis
204,ANES,561C,Topic Seminar
205,ANES,611C,Baseball and American Culture
206,ANES,620,Human Patient Simulation I
207,ANES,660C,Intro to Anesthesia Practice
208,ANES,680C,Anesthesia Practice Seminar
209,ANES,840,Pharmacology In Anesthesia Practice II
210,ANT,207,Practical Aspects of Anesthesia Practice I
211,ANT,217W,Applied Anatomy for Anesthesia Practice
212,ANT,334,Phys for Anesthesia Practice
213,ANT,385,Principles of Instrumentation and Monitoring Equip II
214,ANT,798R,Anesthesiology Practice III
215,ANT,799R,Clinical Methods III
216,APHI,525D,Clinical Anesthesia III
217,APHI,527D,Senior Seminar In Anesthesia III
218,APHI,550D,Practical Aspects of Anesthesia Practice II
219,APHI,581D,Clinical Anesthesia VI
220,APHI,597D,Comprehensive Examinations III
221,APHI,599R,General Med School Anesthesiology Holding
222,ARTHIST,216W,Foundation Development Studies
223,ARTHIST,599R,East Asian Calligraphy
224,ARTHIST,799R,Evolutionary Medicine
225,ARTVIS,109,Special Topics Anthropology
226,ATA,499,Advanced Research
227,BCDB,699R,Dissertation Research
228,BCDB,799R,"Overview of Data Sources, Standards, and Information Systems"
229,BIOETH,505,Public Health Technology Systems and Architectures
230,BIOETH,506,Business Aspects of Public Health Informatics
231,BIOETH,599R,Applied Data Science & Decision Support Capstone II
232,BIOETH,601,Directed Study
233,BIOETH,602R,Thesis
234,BIOL,120,East Asian Calligraphy
235,BIOL,141,Thesis Research
236,BIOL,141L,Dissertation Research
237,BIOL,142,Intro Sculpture
238,BIOL,142L,ThD Dissertation Research
239,BIOL,301,Advanced Graduate Research
240,BIOL,320,Dissertation Research
241,BIOL,336,Special Topics in Bioethics
242,BIOL,497R,Independent Study in Bioethics
243,BIOS,518D,Thesis Hours
244,BIOS,595,Practicum in Bioethics
245,BIOS,597R,Capstone in Bioethics
246,BIOS,599R,Concepts In Biology WLab
247,BIOS,795R,Foundations of Modern Biol I
248,BIOS,797R,Foundations of Modern Biology I Lab
250,BIOS,799R,Foundations of Modern Biol II
251,BL,515,Foundations of Modern Biology II Lab
252,BMED,599R,Biochemistry I
253,BMED,799R,Animal Behavior
254,BMED,9000,Human Physiology
255,BMED,9999R,Supervised Reading
256,BSHE,504D,Applied Biostatistics III
257,BSHE,597R,Applied Practice Experience
258,BSHE,599R,Directed Study
259,BSHE,797R,Thesis
260,BSHE,798R,Pre-Candidacy Research
261,BSHE,799R,Directed Study
262,BUS,380,Directed Study Spatial Epidemiology
263,BUS,496,Dissertation
264,BUS,496A,Introduction to Biblical Hebrew (Summer Intensive)
265,BUS,496B,Thesis Research
266,BUS,497R,Dissertation Research
267,BUS,500Y,Doctoral Thesis
268,BUS,536,Joint Georgia TechEmory Biomedical Engineering Program Enrollment
269,BUS,591Y,Social Behavior In Public Health
270,BUS,596,Directed Study
271,BUS,694,Thesis
274,BUS,697,Directed Study
278,BUS,704,Research Hours
279,BUS,798R,Dissertation Research
280,BUS,799R,Professional Development
281,CB,597R,Internship
282,CB,599R,Applied Consulting Experience
283,CB,699R,Advanced Internship
284,CB,799R,Directed Study
285,CC,501,Goizueta IMPACT
286,CC,645,Washington Campus
287,CE,545R,Cornerstone
288,CE,546R,Internship
289,CHEM,150,Study Abroad Aalto
290,CHEM,150L,Study Abroad WHU
291,CHEM,202,Study Abroad UTDT Argentina
292,CHEM,202L,Directed Study Crisis Leadership
293,CHEM,203,Directed Study
294,CHEM,203L,Directed Study Crisis Operations Management
295,CHEM,204,Directed Study
296,CHEM,399R,Teaching Business-TATTO
297,CHEM,499R,Pre-Candidacy Dissertation Research
298,CHEM,599R,Dissertation
299,CHEM,799R,Laboratory Rotations
300,CHN,216W,Thesis Research (Master Level)
301,CHN,370W,Advanced Graduate Research
302,CL,329R,Dissertation Research
303,CPLT,797R,Church And Comm Ministries
304,CPLT,798R,Non_Proft Leadership & Management
305,CPLT,799R,Ministry Internship
306,CPTR,501,Clinical Pastoral Education
307,CS,170,Structure and Properties
308,CS,171,Structure and Properties Lab
309,CS,224,Principles of Reactivity
310,CS,497R,Principles of Reactivity Lab
311,CS,596R,Advanced Reactivity
312,CS,597R,Advanced Reactivity Lab
313,CS,598R,Macromolecules
314,CS,599R,Introduction To Research
315,CS,799R,Undergraduate Research
316,DANC,340W,Thesis Research
317,DPT,700,Advanced Research
318,DPT,705,East Asian Calligraphy
319,DPT,710,Noodle NarrativesSilk Road
320,DPT,715,"Spec Stud in Classical Culture Ancient Worlds, Modern Media"
321,DPT,720,Directed Readings
322,DPT,725,Supervised Research
323,DPT,800,Dissertation Research
324,DPT,805,Translational to Clinical Med.
325,DPT,900,Introduction To Computer Science I
326,DPT,905,Introduction to Computer Science II
327,DPT,950,Foundations of Computer Science
328,DPT,970,Directed Study
329,DPT,973,Computer Science Master's Practicum
330,DS,501,Directed Study
331,DS,502,Rotation Project
332,EAS,216W,Research
333,ECON,101,Dissertation Research
334,ECON,112,Arts Writing & Criticism
335,ECON,201,Health Promotion Individual
336,ECON,212,Human Anatomy
337,ECON,231,Fundamentals of Clinical Measurements
338,ECON,309W,Kinesiology and Biomechanics
339,ECON,397R,Ethics and Professionalism
340,ECON,449,Interpersonal Communications
341,ECON,496R,Musculoskeletal Rehabilitation
342,ECON,496RW,Principles of Motor Learning
343,ECON,599R,Terminal Clinical Education Experience III
344,ECON,799R,Current Practices in PT
345,EH,500D,DPT Holding
346,EH,595,Directed Study
347,EH,597R,Directed Study III
348,EH,599R,Methodist History and Doctrine
349,EHS,600R,United Methodist History and Polity
350,EHS,798R,East Asian Calligraphy
351,EHS,799R,Principles Of Microeconomics
352,ELSP,503,Principles Of Macroeconomics
353,ELSP,516,Intermediate Microeconomics
354,ENG,215,Intermediate Macroeconomics
355,ENG,221RW,Intro To Global Trade And Finance
356,ENG,255W,Contemporary Economic Issues
357,ENG,302W,Directed Reading In Economics
358,ENG,348W,Economics Internship
359,ENG,380W,Tutorial in Economics
361,ENG,389W,Tutorial in Economics
363,ENG,599R,Thesis Research
364,ENG,799R,Dissertation Research
365,ENGCW,271W,Perspectives In Environmental Hlth
366,ENGCW,272W,Applied Practice Experience
367,ENVS,229,Directed Study
368,ENVS,239,Thesis
369,ENVS,240,Research Rotation
370,EPI,595,Pre-candidacy Research
371,EPI,597R,Dissertation Research
372,EPI,599R,Fluency Building II
373,EPI,798R,Communication Skills for Intermediate Speakers III
374,EPI,799R,History of Drama and Theater I
375,ES,663,Advanced Writing Workshop American Civil Rights Movement
376,EV,501,British Literature Before 1660
377,FILM,107,Technical Writing
378,FILM,270,Contemporary Literature
379,FILM,380,Topic Writing RhetoricLiteracy
380,FILM,498R,Topic Writing RhetoricLiteracy Arts Writing & Criticism
381,FIN,399R,Special TopicsLiterature Baseball and American Culture
382,FIN,501A,Special TopicsLiterature American Crime Fiction
383,FIN,501C,Masters Thesis
384,FIN,501Y,Doctoral Dissertation
385,FIN,520,Introduction to Poetry Writing
386,FIN,520B,Introduction to Fiction Writing
387,FIN,520Y,Atmospheric Science with Lab
388,FIN,589,Physical Oceanography
389,FREN,101,Ecosystem Ecology
390,FREN,102,Applied Practice Experience
391,FREN,210,Directed Study
392,FREN,599R,Thesis
393,FREN,799R,Pre-candidacy Research
394,GER,210,Research
395,GH,500D,"Religion, Violence & Peacebuilding"
396,GH,595,Enabling An Evangelizing Church
397,GH,597R,Intro to Digital Video
398,GH,598R,Introduction To Film
399,GH,599R,Video Games
400,GMB,597R,Directed Project in Production
401,GMB,599R,Special Topics in Finance Personal Financial Investing
402,GMB,699R,Managerial Economics
403,GMB,799R,Managerial Economics
404,GRAD,705R,Economics
405,HGC,735D,Managerial Finance
406,HGC,735E,Managerial Finance
407,HGC,740C,Management Finance
408,HGC,805,Mergers & Acquisitions
409,HGC,825,Elementary French I
410,HISP,597R,Elementary French II
411,HIST,201,French For Reading Comprehension
412,HIST,251W,Individualized Research
413,HIST,296,Individualized Research
414,HIST,327W,German for Reading Comprehension
415,HIST,599R,Addressing Key Issues in Global Health
416,HIST,799R,Applied Practice Experience
417,HLTH,220,Directed Study
418,HLTH,331,Special Study Project
419,HLTH,350R,Thesis
420,HLTH,399R,Laboratory Rotations
421,HPM,550,Thesis Research (Master Level)
422,HPM,555,Advanced Graduate Research
423,HPM,557,Dissertation Research
424,HPM,560,Graduate Internship Experience
425,HPM,595,Clinical Practicum Rotation III
426,HPM,597R,Clinical Practicum Rotation IV
427,HPM,599R,Focus Internship III
428,HPM,797R,Public Health Genomics (Online Course)
429,HPM,798R,Genetic Counseling Independent Study I
430,HPM,799R,Directed Study
431,ICIVS,790R,Formation of European Society
432,ICIVS,798R,Intimacy and Terror Stalinism
433,ICIVS,799R,Special Topics Cross-listed History of Drama and Theater I
434,IDS,207,The Soviet World War 1939-1945
435,IDS,490R,Research
436,ILA,799R,Advanced Research
437,IMP,699R,Introduction to Nutrition Science
438,IMP,799R,Disability & Bioethics
439,INFO,597R,Core Issues in Global Health Advocating for Global Health
440,INFO,598R,Directed Research
441,INTERN,496,Capstone-Operations Management
442,INTERN,497R,Health Care Management in the Outpatient Setting
443,ISOM,351,Healthcare Administration Law
444,ISOM,356,Capstone-Strategic Management
445,ISOM,550,Applied Practice Experience
446,ISOM,551,Directed Study
447,ISOM,551A,Thesis
448,ISOM,552,Directed Study
449,ISOM,650,Pre-Candidacy Research
450,ISOM,653,Dissertation Research
451,ITAL,101,Qualifying Exam Preparation
452,ITAL,102,Pre-Candidacy Research
453,ITAL,370W,Dissertation Research
454,JPE,610,Foundation Development Studies
458,JPN,101,Supervised Reading and Study
459,JPN,102,Research For Ph.D. Candidates
460,JS,370,Advanced Graduate Research
461,KRN,101,Dissertation Research
462,KRN,102,Directed Study
463,LA,645,Capstone
464,LACS,265W,Experiential Links to Major
465,LAT,110,Advanced Practicum for Major
466,LAW,574,Process & Systems Management
467,LAW,599C,Think.Code.Make
468,LAW,599F,Data & Decision Analytics
469,LAW,724L,Processes & Systems Mgmt
470,LAW,871A,Processes and Systems Management
471,LAW,897,Technology & Adaptive Systems
472,LAW,901,Decision Modeling
473,LAW,901A,Operations Strategy
474,LAW,901B,"Language & Culture, Elem I"
475,LAW,910,"Language & Culture, Elem. II"
476,LAW,920,Noodle NarrativesSilk Road
477,WITT,,Jones Program in Ethics Workshop Remote Ethics Training
478,LAW,930,Jones Program in Ethics Workshop Remote Zoom Recording DMP
479,SHEP,,Jones Program in Ethics Workshop Remote Workshop I
480,LAW,955,Jones Program in Ethics Workshop Remote Workshop II
481,MATH,110,Elementary Japanese I
482,MATH,111,Elementary Japanese II
483,MATH,112,Topics in Jewish Religion & Culture
484,MATH,210,Elementary Korean I
485,MATH,211,Elementary Korean II
486,MATH,212,Non_Proft Leadership & Management
487,MATH,221,Visitor Meets Native
488,MATH,361,Intensive Latin
489,MATH,362,Supervised Essay on Legal Practice
490,MATH,597R,U.S. Courts and Oral Advocacy
491,MATH,799R,Residency Dispute Resolution
492,MD,565,Capstone Comparative Law
493,MD,570,Extern Fieldwork - Summer
494,MD,580,Directed ResearchSpecific Topics
495,MD,635,Supervised Research
496,MD,639,Supervised Research Accelerated
497,MD,705,Supervised Research Accelerated 2
498,MD,706,SJD Research - G1
499,MD,710,SJD Research - G2
500,MD,715,Meets
501,MD,720,SJD Research - G3
502,MD,725,Meets
503,MD,730,Dissertation Defense
504,MD,735,Transition to Calculus
505,MD,740,Calculus I
506,MD,741,Calculus II
507,MD,742,Advanced Calculus for Data Sciences
508,MD,743,Advanced Calculus (Multivariable)
509,MD,745,Differential Equations
510,MD,749,Linear Algebra
511,MD,750,Mathematical Statistics I
512,MD,755,Mathematical Statistics II
513,MD,756,Directed Study
514,MD,840,Research
515,MD,905,Foundation Gastrointestinal
516,MD,906,Foundations Renal & Genitourinary
517,MD,907,Evidence Based Medicine
518,MD,910,Foundation Review Self Study
519,MD,915,Essentials of Patient Care (EPC)
520,MD,920,Application Adult Primary Care
521,RA10,,Application Pediatric Primary Care
523,CO13,,Application Internal Medicine
525,AN02,,Application Neurology
527,MED,,Application ObstetricsGynecology
529,PE11,,Application Pediatrics
531,D01,,Application Psychiatry
533,DD02,,Application Surgery
535,SPEC,,Application Anesthesiology
537,EM10,,Application Dermatology
539,HS01,,Application Palliative Medicine
541,FP02,,Application Radiology
543,GO06,,Applications Essentials of Patient Care (EPC) II
545,RA01,,Applications Ethics in Medicine
547,GO04,,Integration I
549,SU48,,Integration II
551,ID06,,General Course Elective
553,HO03,,Translation Senior Medicine Sub-Internship
555,GO02,,TRANS Sr Surg Sub-Internship
557,CO10,,Translation Senior Pediatric Sub-Internship
559,IND,,Translation Critical Care
561,P06,,Translation Emergency Medicine
563,GM24,,Translation Elective Adv.Gen.Diagnostic Radiology
565,GM18,,Meets
567,GO03,,Translation Elective Advanced Heart Failure
569,GM28,,Meets
571,NI03,,Translation Elective Anesthesia for Surgical Subspecialties
573,NE09,,Meets
575,O04,,Translation Elective App.& Fnd. of Edu. in Med Ed.
578,OS02,,Meets
580,OS06,,Translation Elective Child Neurology (Peds)
582,PA01,,Meets
584,PE04,,Translation Elective Dermatology
586,PE07,,Meets
588,PE08,,Translation Elective Digestive Diseases
590,PE12,,Meets
592,PE02,,Translation Elective ElectiveIndependentlyArranged
594,SU47,,Meets
596,GM29,,Translation Elective Emergency Medicine-Virtual
598,P09,,Meets
600,P02,,Translation Elective ExplorationHlth.Syst.Sciences
602,CR01,,Meets
604,GO05,,MD 920
606,RSCH,,Meets
608,SU50,,Translation Elective Female Pelvic Med.&Reconst.Srg
610,SU08,,Meets
613,RA16,,Translation Elective General Diagnostic Radiology
614,MDIV,999R,Meets
615,MDP,596R,Translation Elective General Obstetrics & Gynecol.
616,MDP,597R,Meets
618,MDPH,525R,Translation Elective General Surgery (Virtual)
619,MDPH,530R,Meets
620,MDPH,540R,"Translation Elective HIV Infections, Outpatient"
621,MDPH,560R,Meets
622,MDPH,610R,Translation Elective Hematology
623,MDPH,615R,Meets
624,MDPH,620R,Translation Elective High-Risk Obstetrics
625,MDPH,625R,Meets
626,MDPH,630R,Translation Elective Hurst Cardiology
627,MDPH,635R,Meets
628,MDPH,640R,Translation Elective Independent Study
629,MDPH,655R,Meets
630,MDPH,670R,Translation Elective Inpatient Psychiatry
631,MDPH,799R,Meets
632,MI,213C,Translation Elective Intro. to Medical Humanities
633,MI,221C,Meets
634,MI,301,Translation Elective Introduction to Medical Education and Clinicl Tra
635,MI,321B,Meets
636,MI,323,Translation Elective Labor and Delivery
637,MI,325A,Meets
638,MI,361A,Translation Elective MedicineClinical Problem-Solv
639,MI,421,Meets
640,MI,430,Translation Elective Nephrology
641,MI,431,Meets
642,MI,440,Translation Elective Neurology(Elective)
643,MI,441,Meets
644,MI,450,Translation Elective Ocular Oncology & Pathology
645,MI,451A,Meets
646,MI,453A,Translation Elective Ophthalmology
647,MI,455A,Translation Elective Orthopaedic Externship
648,MI,457A,Meets
650,MI,461A,Translation Elective Orthopedic Surgery (Virtual)
651,MI,463A,Meets
652,MI,465A,Translation Elective Pathology
653,MI,467A,Meets
654,MI,469A,Translation Elective Ped.EmergencyUrgent Care
656,MKT,340,Meets
657,MKT,540B,Translation Elective Ped.Hematology Oncology BMT
658,MKT,540Y,Meets
659,MMG,597R,Translation Elective Pediatric Infectious Diseases
660,MMG,699R,Meets
661,MMG,799R,Translation Elective Pediatric Nephrology
662,MRPL,999R,Meets
663,MSCR,599R,Translation Elective Pediatrics In-Patient
664,MSP,699R,Meets
665,MSP,799R,Translation Elective Plastic Surgery (Virtual)
666,MTS,999R,Meets
667,MUS,356W,Translation Elective Professional Activ. Residency
668,MUS,370W,Meets
669,MUS,496R,Translation Elective Psy.in Med.PracticeConsult Psy
670,NBB,302,Meets
671,NBB,401W,Translation Elective Psychiatry & Behav.Sciences
672,NBB,497W,Meets
673,NBB,498R,Translation Elective Radiation Oncology
674,NHS,597R,Meets
675,NHS,599R,Translation Elective Reproduc.Endocrinol.&Infertil.
676,NHS,699R,Meets
677,NHS,799R,Translation Elective Research
678,NRSG,310,Meets
679,NRSG,312,Translation Elective Surgery Education(4th yr only)
680,NRSG,314,Meets
681,NRSG,315,Translation Elective Surgical Oncology
682,NRSG,320,Meets
683,NRSG,324,Translation Elective TelemedPall.Care During Pand.
684,NRSG,328,Translation Elective Virtual Diagnostic Radiology
685,NRSG,330,Meets
686,NRSG,371,MDIV Administrative Fee
687,NRSG,372,United States Based Internship
688,NRSG,380,Directed Study Program Evaluation Approaches
689,NRSG,392,Directed Study Spatial Analysis
690,NRSG,393,Intro to Dissertation Research in Immunology & Molecular Pathogenesis
691,NRSG,394,Intro to Dissertation Research in Microbiology & Molecular Genetics
692,NRSG,400,Intro to Dissertation Research in Neuroscience
693,NRSG,401,Intro to Diss. Rsch in CS
694,NRSG,402,Research Rotation in Biomedical Engineering
695,NRSG,406,Research Rotation in Epidemiology
696,NRSG,408,Research Rotation in Genetics and Molecular Biology
697,NRSG,411,Research Rotation in Immunology and Molecular Pathogenesis
698,NRSG,412,Research Rotation in MMG
699,NRSG,416,Research Rotation in Molecular and Systems Pharmacology
704,NRSG,424,Research Rotation in Neuroscience
705,NRSG,426,Intro. to Medical Scientist Training
706,NRSG,430,Research Rotation in Cancer Biology
707,NRSG,431,Med Science Directed Study-MdPhd MDPhD Clinical Skills Refresher
708,NRSG,432,Medical Imaging Procedures
709,NRSG,436D,Anatomy & Physiology
710,NRSG,439D,Survey of Medical and Surgical Diseases
711,NRSG,497R,Physical Principles of Imaging
717,NRSG,510,Medical Imaging Safety
718,NRSG,518,Principles of Radiographic Technique
719,NRSG,520,Clinical Internship
720,NRSG,529,Imaging Equipment
721,NRSG,535,Principles of Management
722,NRSG,546,Business Communication
723,NRSG,557,Intro to Medical Imaging Ed.
724,NRSG,563,Methods and Materials of Teaching
725,NRSG,572,CT Physics and Instrumentation
726,NRSG,579,CT Procedures
727,NRSG,591,MRI Physics and Instrumentation
728,NRSG,595,MRI Procedures
729,NRSG,601,Advanced Clinical Procedures I Interventional Radiology
730,NRSG,614,Advanced Clinical Procedures I Women's Imaging (Mammography)
731,NRSG,630,Clinical Practicum
732,NRSG,652,Management Practicum
733,NRSG,653,CT Practicum
734,NRSG,657,MRI Practicum
735,NRSG,662,Advanced Clinical Practicum I Interventional Radiology
736,NRSG,665,Advanced Clinical Practicum I Women's Imaging (Mammography)
737,NRSG,669,Marketing Management
738,NRSG,673,Marketing Management
739,NRSG,688,Marketing Management
740,NRSG,691,Laboratory Rotations
741,NRSG,692R,Advanced Graduate Research
742,NRSG,697R,Dissertation Research
746,NRSG,722D,Master of Religion and Public Life Administrative Fee
747,NRSG,795R,Thesis
748,NRSG,799R,Advanced Graduate Research
749,NS,597R,Dissertation Research
750,NS,599R,MTS Library Use
751,NS,699R,"Women, Music and Culture"
752,NS,799R,Special Topics Music Arts Writing & Criticism
753,OAM,330,Internship to Music
754,OAM,432,Behavioral Neuroscience
755,OAM,531,Perspectives in Neuroscience & Behavior
756,OAM,531Y,Supervised Writing
757,OAM,562Y,Supervised Reading
758,OAM,631A,Laboratory Rotations
759,OAM,634,Thesis Research (Masters Level)
760,OAM,636,Advanced Graduate Research
761,OAM,660,Dissertation Research
762,OCFT,999LAW,Pathophysiology for Nurses
763,LAW,,Foundations of Nursing Practice
764,OCFT,999UBUS,Clinical Practicum I
765,PAE,7105,Population Health Community & Public Health Nursing
