,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor,Class location
1104,ANT,202-D2,Concepts and Methods in Cultural Anthropology,F,2:30pm,3:45pm,Not Listed,Callaway Center C101
1105,ANT,202-1,Concepts and Methods in Cultural Anthropology,MW,10:00am,11:15am,Kristin Phillips,Math & Science Center N304
1106,ANT,202-2,Concepts and Methods in Cultural Anthropology,MW,11:30am,12:45pm,Kristin Phillips,Math & Science Center N302
1107,ANT,203-1,Foundations of Linguistics,TuTh,11:30am,12:45pm,Not Listed,White Hall 110
1108,ANT,203-2,Foundations of Linguistics,F,1:00pm,2:15pm,Not Listed,White Hall 103
1109,ANT,205-1,Foundations of Global Health,TuTh,2:30pm,3:45pm,Rachel HallClifford,Online
1110,ANT,207-1,Foundation Development Studies,TuTh,1:00pm,2:15pm,Peter Little,Math & Science Center N302
1111,ANT,258-1,Anthropology of the Jews,TuTh,10:00am,11:15am,Don Seeman,White Hall 102
1112,ANT,285-1,Anthropology Special Topics,TuTh,4:00pm,5:15pm,Devaka Premawardhana,Candler Library 114
1113,ANT,285-2,Anthropology Special Topics,TuTh,11:30am,12:45pm,Petra Creamer,1462 Clifton Rd 100C
1114,ANT,302-1,Primate Behavior  Ecology,MW,10:00am,11:15am,Marcela Benitez,Math & Science Center N302
1115,ANT,311-1,Nutritional Anthropology,MW,1:00pm,2:15pm,Craig Hadley,Math & Science Center N302
1116,ANT,325-1,Language Gender and Sexuality,TuTh,1:00pm,2:15pm,Not Listed,Tarbutton Hall 218
1117,ANT,339-1,Defining Health Biocultural Perspectives,TuTh,1:00pm,2:15pm,Michelle Lampl,Online
1118,ANT,349-1,Food Health and Society,MW,8:30am,9:45am,Cassandra Quave,Anthropology Building 303
1119,ANT,351W-1,Sustainable DevAnthro Perspective,TuTh,4:00pm,5:15pm,David Nugent,Anthropology Building 107
1120,ANT,385-1,Special Topics Anthropology,TuTh,11:30am,12:45pm,Katy Lindquist,Anthropology Building 105
1121,ANT,385-2,Special Topics Anthropology,TuTh,2:30pm,3:45pm,Sasha Tycko,Anthropology Building 105
1122,ANT,391-1,Law Discipline and Justice,MW,4:00pm,5:15pm,Michael Peletz,Anthropology Building 105
1123,ANT,455W-1,Current Issues in Primatology,W,2:30pm,5:15pm,Marcela Benitez,Emerson Chemistry Bldg. E504
1124,ANT,499W-1,Capstone Seminar Why Anthropology Matters,MW,11:30am,12:45pm,Anna Grimshaw,Anthropology Building 107
1125,ANT,500-1,Proseminar in Anthropology,Tu,4:00pm,6:45pm,Peter Little,Candler Library 124
1126,ANT,506-1,Culture And Power,W,6:00pm,8:45pm,David Nugent,Anthropology Building 107
1127,ANT,510-1,Medical Anthropology,Tu,1:00pm,3:45pm,Chikako Silva,Anthropology Building 206
1128,ANT,555R-1,Research Seminar in Biological Anthropology,Th,4:00pm,5:15pm,Not Listed,Anthropology Building 108
1129,ANT,585-1,Spec Tops Anthropology,W,2:30pm,5:15pm,Marcela Benitez,Emerson Chemistry Bldg. E504
1130,ANT,585-2,Spec Tops Anthropology,Tu,2:30pm,5:30pm,Malinda Lowery,Ignatius Few Building_131
1131,ANT,585-3,Spec Tops Anthropology,Th,2:30pm,5:30pm,Thomas Rogers,Emerson Chemistry Bldg. E103
1132,ANT,585-4,Spec Tops Anthropology,TuTh,1:00pm,2:15pm,Dietrich Stout,New Psyc Bldg 464 (36 Eagle Ro
1135,ANTH,265QW-1,Anthropology of Gender,MW,2:30pm,3:45pm,Alicia DeNicola,Pierce Hall 227 Seminar Room
1136,GER,101-1,Elementary German I,TuTh,8:30am,9:45am,Not Listed,MODERN LANGUAGE_128
1137,GER,101-2,Elementary German I,TuTh,10:00am,11:15am,Not Listed,MODERN LANGUAGE_128
1138,GER,101-3,Elementary German I,TuTh,11:30am,12:45pm,Peter Hoeyng,Ignatius Few Building_131
